,,Total,2165,DIV 4,,,,,,DIV 7,,,,,,DIV 14,,,,,,DIV 21,,,,,,DIV 28,,,,,
O55128,Histone deacetylase complex subunit SAP18,Sap18,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,3,#N/A,#N/A,#N/A,#N/A,1,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9CQC9,GTP-binding protein SAR1b,Sar1b,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,1,1,0.5,0.5,1,2,0.5,0.5,1
P26638,"Serine--tRNA ligase, cytoplasmic",Sars,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Q9Z315,U4/U6.U5 tri-snRNP-associated protein 1,Sart1,,2,0.5,0.5,1,0.5,0.5,4,1,0.5,0.5,3,2,2,1,2,1,1,0.5,0.5,0.5,1,0.5,1,0.5,0.5,1,1,2,0.5,1
Q9JLI8,Squamous cell carcinoma antigen recognized by T-cells 3,Sart3,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
P70122,Ribosome maturation protein SBDS,Sbds,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q5U4C3,"Splicing factor, arginine/serine-rich 19",Scaf1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,2,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
O35609,Secretory carrier-associated membrane protein 3,Scamp3,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9JKD3,Secretory carrier-associated membrane protein 5,Scamp5,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P59222,Scavenger receptor class F member 2,Scarf2,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,1,0.5,2,0.5,0.5,0.5,1,0.5,1,0.5,0.5
A2APX8,Sodium channel protein type 1 subunit alpha,Scn1a,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,3
Q56A07,Sodium channel subunit beta-2,Scn2b,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,2,0.5,0.5,0.5,4,0.5,2,0.5,3,0.5,4
Q62205,Sodium channel protein type 9 subunit alpha,Scn9a,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5,0.5,0.5,0.5,0.5,3
Q9WU38,Amiloride-sensitive sodium channel subunit beta,Scnn1b,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q80U72,Protein scribble homolog,Scrib,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q8BTH6,Transcriptional repressor scratch 2,Scrt2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P43407,Syndecan-2,Sdc2,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5,0.5
Q64519,Syndecan-3,Sdc3,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,2,0.5,0.5,0.5,1,0.5,0.5
O35988,Syndecan-4,Sdc4,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,0.5,3,0.5,0.5,1,3,0.5,3,0.5,1,0.5,4,0.5,3,0.5,4
O08992,Syntenin-1,Sdcbp,,0.5,0.5,0.5,0.5,0.5,2,0.5,3,0.5,4,0.5,4,0.5,1,0.5,2,0.5,2,0.5,1,0.5,1,2,3,0.5,1,0.5,2,0.5,6
Q8K2B3,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",Sdha,,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5
Q9CXV1,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",Sdhd,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q3UH53,Protein sidekick-1,Sdk1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,4,0.5,6,0.5,1,0.5,5,0.5,0.5,0.5,2,0.5,2,0.5,4
Q6V4S5,Protein sidekick-2,Sdk2,,0.5,3,0.5,2,0.5,13,0.5,6,0.5,18,0.5,12,0.5,18,0.5,23,0.5,18,0.5,27,0.5,25,0.5,43,0.5,30,0.5,36,0.5,34
Q9D1M0,Protein SEC13 homolog,Sec13,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q01405,Protein transport protein Sec23A,Sec23a,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P61620,Protein transport protein Sec61 subunit alpha isoform 1,Sec61a1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,1
Q8BU14,Translocation protein SEC62,Sec62,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1
P17563,Selenium-binding protein 1,Selenbp1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q62181,Semaphorin-3C,Sema3c,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,7,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,2,0.5,0.5,0.5,2,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P70275,Semaphorin-3E,Sema3e,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1
Q62179,Semaphorin-4B,Sema4b,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,1,0.5,1,0.5,1,0.5,0.5
Q64151,Semaphorin-4C,Sema4c,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
O09126,Semaphorin-4D,Sema4d,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,1,0.5,0.5,0.5,4,0.5,0.5,0.5,1,0.5,1
Q60519,Semaphorin-5B,Sema5b,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
O35464,Semaphorin-6A,Sema6a,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Q76KF0,Semaphorin-6D,Sema6d,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,2
Q9CY58,Plasminogen activator inhibitor 1 RNA-binding protein,Serbp1,,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,2,2,0.5,4,1,1,0.5,1,0.5,2,1,0.5,1,0.5,0.5,0.5,1,1,0.5,0.5,1
P84102,Small EDRK-rich factor 2,Serf2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,1,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q8K0E7,Serine incorporator 2,Serinc2,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
Q60854,Serpin B6,Serpinb6,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,2,1,2,2,0.5,0.5
P32261,Antithrombin-III,Serpinc1,,0.5,0.5,0.5,0.5,0.5,1,0.5,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
P49182,Heparin cofactor 2,Serpind1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P19324,Serpin H1,Serpinh1,,0.5,0.5,0.5,0.5,0.5,0.5,2,2,0.5,0.5,0.5,0.5,4,6,8,11,0.5,0.5,7,9,13,14,0.5,1,13,9,7,6,2,2
Q9EQU5,Protein SET,Set,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Q7TSK2,Seizure protein 6,Sez6,,0.5,0.5,0.5,0.5,0.5,1,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1
Q4V9Z5,Seizure 6-like protein 2,Sez6l2,,0.5,0.5,0.5,0.5,0.5,5,0.5,3,0.5,8,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,0.5,0.5,0.5,0.5,0.5,1
Q8K4Z5,Splicing factor 3A subunit 1,Sf3a1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9D554,Splicing factor 3A subunit 3,Sf3a3,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q99NB9,Splicing factor 3B subunit 1,Sf3b1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Q921M3,Splicing factor 3B subunit 3,Sf3b3,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Q8VIJ6,"Splicing factor, proline- and glutamine-rich",Sfpq,,9,4,9,5,4,3,1,2,6,4,5,3,5,4,2,2,3,1,4,4,1,0.5,3,0.5,2,0.5,3,0.5,1,0.5
Q8C4U3,Secreted frizzled-related protein 1,Sfrp1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,12,0.5,1,0.5,0.5,0.5,1,0.5,7,0.5,4,0.5,0.5,0.5,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
Q99JR1,Sideroflexin-1,Sfxn1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,0.5,1,3,4,5,3,4,1,4,2,5,2,5,1
Q91V61,Sideroflexin-3,Sfxn3,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,4,2,2,1,2,1,5,2,5,3,4,2,4,4,3,2,3,2
Q925N0,Sideroflexin-5,Sfxn5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,1,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5
O70258,Epsilon-sarcoglycan,Sgce,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,1,0.5,0.5
Q8R0X7,Sphingosine-1-phosphate lyase 1,Sgpl1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
O89032,SH3 and PX domain-containing protein 2A,Sh3pxd2a,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q8CA71,Protein shisa-4,Shisa4,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,3,0.5,0.5,0.5,1,0.5,2
Q3UH99,Protein shisa-6 homolog,Shisa6,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,2,0.5,5,0.5,0.5,0.5,2,0.5,2
Q8C3Q5,Protein shisa-7,Shisa7,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P97797,Tyrosine-protein phosphatase non-receptor type substrate 1,Sirpa,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,3,0.5,2
Q8K2C6,"NAD-dependent protein deacylase sirtuin-5, mitochondrial",Sirt5,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9CZU3,Superkiller viralicidic activity 2-like 2,Skiv2l2,,1,1,3,1,1,1,0.5,1,1,1,1,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.5,1,1,2,1
Q9WTX5,S-phase kinase-associated protein 1,Skp1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5
P55012,Solute carrier family 12 member 2,Slc12a2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q91V14,Solute carrier family 12 member 5,Slc12a5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,5,0.5,0.5,0.5,0.5,0.5,2
P53986,Monocarboxylate transporter 1,Slc16a1,,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,1,0.5,0.5,0.5,1,2,1,0.5,0.5,1,1,1,3,0.5,2,2,3,2,2,1,2
O70451,Monocarboxylate transporter 2,Slc16a7,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q3TXX4,Vesicular glutamate transporter 1,Slc17a7,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,1,1,2,7,1,2,3,4,2,6
P43006,Excitatory amino acid transporter 2,Slc1a2,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,3,0.5,1,0.5,2,0.5,4,0.5,1,1,6,2,5,3,8,1,9
P56564,Excitatory amino acid transporter 1,Slc1a3,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,7,0.5,2,0.5,1,2,16,2,16,0.5,15,4,24,6,24,2,11,4,20,6,32,4,19
O35874,Neutral amino acid transporter A,Slc1a4,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,1,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9D9E0,Solute carrier family 22 member 17,Slc22a17,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9Z2J0,Solute carrier family 23 member 1,Slc23a1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q8JZU2,"Tricarboxylate transport protein, mitochondrial",Slc25a1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,1,1,1,3,3,1,2,4,0.5,1,1,4,3,3,1,5,2,4,2,3,3
Q9QZD8,Mitochondrial dicarboxylate carrier,Slc25a10,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,0.5,1,1,1,2,1,0.5,2,0.5,2,0.5,1,1
Q9CR62,Mitochondrial 2-oxoglutarate/malate carrier protein,Slc25a11,,0.5,0.5,0.5,0.5,0.5,0.5,3,4,1,0.5,2,0.5,3,3,4,4,9,6,2,9,10,5,6,3,5,5,4,3,4,6
Q8BH59,Calcium-binding mitochondrial carrier protein Aralar1,Slc25a12,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,8,8,2,4,6,3,7,7,14,9,9,6,17,10,15,7,14,14
O70579,Peroxisomal membrane protein PMP34,Slc25a17,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,2,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q9Z2Z6,Mitochondrial carnitine/acylcarnitine carrier protein,Slc25a20,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,1,3,0.5,4,0.5,3,2,9,1,1,0.5,19,4,4,1,3,0.5
Q9D6M3,Mitochondrial glutamate carrier 1,Slc25a22,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0.5,2,2,1,1,1,1,3,2,2,4,4,2,2,3,4,2,4,3
Q8BL03,Mitochondrial basic amino acids transporter,Slc25a29,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Q8VEM8,"Phosphate carrier protein, mitochondrial",Slc25a3,,0.5,0.5,0.5,0.5,0.5,0.5,1,2,0.5,0.5,0.5,0.5,8,5,4,3,1,2,6,4,5,3,5,2,4,3,4,3,4,5
P48962,ADP/ATP translocase 1,Slc25a4,,3,2,3,4,6,4,13,9,10,4,9,6,30,15,16,14,20,11,22,14,31,40,16,8,32,21,19,19,28,20
P51881,ADP/ATP translocase 2,Slc25a5,,3,1,1,2,3,2,11,7,10,2,6,4,29,14,13,11,19,10,21,14,33,38,16,8,32,21,17,19,27,18
Q60714,Long-chain fatty acid transport protein 1,Slc27a1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,#N/A,#N/A,1,0.5,#N/A,#N/A,#N/A,#N/A
O88561,Long-chain fatty acid transport protein 3,Slc27a3,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,1,0.5,#N/A,#N/A,#N/A,#N/A
P17809,"Solute carrier family 2, facilitated glucose transporter member 1",Slc2a1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q60738,Zinc transporter 1,Slc30a1,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5
P97858,Solute carrier family 35 member B1,Slc35b1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
Q6P5F6,Zinc transporter ZIP10,Slc39a10,,0.5,0.5,0.5,0.5,0.5,4,0.5,7,0.5,6,0.5,5,0.5,6,0.5,6,0.5,6,0.5,9,0.5,4,0.5,5,0.5,10,0.5,4,0.5,6
Q8C145,Zinc transporter ZIP6,Slc39a6,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,1,0.5,1,0.5,2,0.5,2,0.5,2,0.5,3,0.5,1,0.5,1,0.5,0.5,0.5,1,0.5,1
P10852,4F2 cell-surface antigen heavy chain,Slc3a2,,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,3,0.5,1,1,3,1,3,0.5,1,2,4,1,2,0.5,4,0.5,0.5,0.5,5,0.5,3
Q8BY89,Choline transporter-like protein 2,Slc44a2,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,2,#N/A,#N/A,0.5,0.5,#N/A,#N/A,#N/A,#N/A
P04919,Band 3 anion transport protein,Slc4a1,,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Q5DTL9,Sodium-driven chloride bicarbonate exchanger,Slc4a10,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,3,0.5,3,0.5,2
O88343,Electrogenic sodium bicarbonate cotransporter 1,Slc4a4,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,25,0.5,24,0.5,11,0.5,27,0.5,41,0.5,12,0.5,30,0.5,35,0.5,22
